"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1111.95336867204,1112.05128032091,1112.0291134474,1112.05350254969,1111.99892944325,1111.80429044799,1112.0842890676,1111.99983390503,1111.99857800412,1112.00998454218,1112.01941706791,1111.95199584331,1111.98683254079,1112.06684484854,1112.05486917985,1111.96658906338,1112.01998357378,1111.91040595981,1112.00314392966,1111.98567473784,1112.0201571145,1112.0384832086,1111.96614846882,1111.97613539114,1112.00789812447,1112.01714727739,1111.95836909462,1112.08330406496,1112.07058916913,1112.04585186214,1111.96121338057,1111.98788395891,1112.04281183166,1112.04989485734,1112.07618762165,1112.03924233977,1112.03465854215,1112.0271108007,1112.00834360287,1111.99236161284,1111.94421985578,1112.04944586452,1112.04167365684,1111.95432149909,1112.00407425311,1112.01461773919,1111.89780910178,1112.04861406751,1111.98792418984,1112.01909218095
"2",1111.97564515403,1111.8973979351,1111.97816497017,1112.08713507453,1112.03526340667,1112.05495765841,1112.06127489652,1112.03993750249,1112.05587238338,1112.00870086986,1112.07161393647,1111.99614552154,1115.8267858768,1111.99146437329,1112.0302069685,1111.97665292185,1112.05470969746,1112.05577580552,1112.04969150101,1112.01886493494,1111.99270504694,1111.92686831847,1112.01729497939,1111.95753030697,1112.04833009982,1111.99605501957,1111.98488501366,1112.02248635652,1112.02293225101,1112.02639477295,1112.03564762849,1111.98398181656,1112.02710952953,1112.04115794895,1112.08286722773,1111.94493537572,1112.03365853392,1112.02023931749,1111.97938097017,1112.02428577341,1111.96972092856,1112.04359636626,1112.09388788292,1112.0125493318,1112.06122435704,1111.9727009815,1112.06264858941,1112.01626816791,1112.05669232937,1112.06020058389
"3",1112.05050309419,1112.04599105404,1112.06476738686,1111.98644188772,1112.05144524888,1112.05472997259,1112.04161807354,1111.99397154537,1111.99092279221,1112.03175960738,1112.06060306824,1115.28364625131,1115.77872891162,1113.14765929524,1112.04583756154,1112.03100231682,1112.02416850502,1112.07335527803,1112.05709831396,1112.03962688951,1112.10841003788,1111.95453774882,1112.05208572777,1111.88348580504,1111.98388116138,1112.1158930843,1112.14874098679,1112.09699216913,1112.00866338777,1111.96387644104,1112.04582275244,1111.90346956617,1111.97933579795,1111.90389134559,1112.01941595415,1112.07191486088,1111.97075480271,1112.07486323214,1112.04443917441,1112.01061508825,1112.06404376918,1112.04575059827,1112.07452356737,1111.96888839712,1112.05131388694,1111.98270983001,1112.04568200809,1112.07851965276,1112.06021287641,1112.01533661791
"4",1111.95070851022,1111.96785676873,1112.03279039694,1112.03125874468,1111.97277996399,1112.0028149471,1112.06942137748,1111.97887554666,1112.06159781389,1112.02834321602,1115.95537812431,1115.13703057519,1115.65946684652,1115.35257521675,1112.73354688288,1112.0709813731,1111.98301068915,1111.98897243363,1112.02822432736,1111.89333533274,1111.95492903024,1112.00522085792,1112.03620272919,1112.10009579153,1112.04688333651,1112.07683999931,1112.07785692464,1112.0902758854,1112.03413649539,1111.85761177604,1112.04227822668,1112.01007584203,1111.9285510389,1112.07479357528,1111.94084574611,1112.02945342165,1111.98593318648,1112.03177291194,1112.06414189319,1112.05358529909,1112.03693986769,1111.9740589675,1111.94961728559,1112.03063202782,1111.9931583467,1111.98095151335,1112.08452571942,1112.05434676312,1111.98133542915,1111.97970553516
"5",1111.99412339696,1112.05198911353,1112.06329036213,1111.94476811638,1111.95870058293,1111.96577929429,1111.99550549008,1112.04560040588,1112.03798362812,1115.26490447053,1114.85714197474,1115.0584127216,1114.62180634119,1114.90810233505,1115.27107985132,1111.99205112571,1112.02921746815,1112.05959444915,1112.04506601776,1112.03435859486,1112.0710033182,1112.03409092,1112.05131830766,1111.90631970932,1111.98464253967,1112.07046133753,1112.09414276045,1112.06828108501,1112.07329259124,1111.9756220694,1112.04163446096,1112.06147201278,1112.04609551764,1111.95864553556,1112.04080070899,1112.04623481564,1112.02957101004,1112.06804166834,1112.05107068288,1112.04209388505,1111.92297847054,1111.96364370036,1112.05363198422,1112.07898001348,1112.05363564502,1112.04237663048,1112.03639488284,1111.98910858628,1111.93456973375,1112.05627470937
"6",1112.02367934946,1112.02762545928,1112.07387368238,1111.99062206096,1112.02885743928,1112.04952093649,1112.06886182285,1112.03737097618,1114.77517394993,1115.13582505408,1114.25879833119,1115.58293106679,1114.99425684606,1115.35933545481,1114.78987933724,1114.77027003698,1111.93439755646,1111.9948654709,1112.02680070342,1112.06973486308,1112.01385082964,1111.99887115655,1111.98157798354,1112.04200138652,1112.00347026758,1112.02986930246,1111.96346711276,1111.98176000145,1111.98352377263,1112.02038220088,1112.04848639278,1111.99500176646,1112.05395804539,1111.95586593607,1112.04345377671,1112.01575552577,1111.90677925488,1112.0931293738,1111.97974774908,1112.02403081496,1111.92352030081,1112.07205506611,1112.03504157346,1112.06937315185,1112.05308842705,1112.00632350714,1112.03968185179,1112.01251914546,1111.95617094876,1112.03759534965
"7",1111.93251262246,1111.95202237303,1112.04789118784,1112.01523574411,1112.03474333763,1112.01926501166,1112.0025346765,1112.05660484894,1114.66311036177,1114.68776473897,1115.91663662422,1114.24183134116,1115.33224759727,1115.42933174242,1114.68061233387,1115.46366421719,1112.0631168952,1111.94632780934,1112.06855340536,1112.07015625916,1111.92042505382,1112.02334593609,1111.92093705897,1112.0319625704,1111.99460455039,1112.02771316562,1112.11080950077,1112.00049045957,1111.98019038859,1111.97821489875,1112.03488399806,1111.9424947876,1111.9691802414,1111.98575763599,1111.9945526196,1112.0486334838,1112.10829823859,1111.98602858763,1111.95143224075,1111.97462057998,1112.00361022194,1111.9776379485,1112.00862461542,1112.00496462421,1112.04114525162,1112.04084761596,1112.0640218318,1112.00880816367,1111.98412269303,1112.0352419955
"8",1112.08952632509,1111.99882044266,1112.05352828243,1112.02975015232,1112.05140024962,1111.9465130646,1112.04591947435,1112.04521542073,1114.87156245389,1114.72427098984,1115.60345190853,1115.20716707952,1113.45308233987,1114.01343790589,1115.18804930404,1112.16006725479,1112.00375955984,1112.00586482803,1112.05279406927,1112.0359814514,1111.97444591599,1111.98321671306,1112.049024759,1112.07069046279,1112.05385826736,1111.93247205278,1112.1261475216,1112.0622337319,1112.05947348815,1112.09531380255,1111.93107017672,1111.97110286826,1112.0274093577,1112.0319902195,1111.95903640416,1112.03698699054,1112.02298459342,1112.05526704216,1111.96620966396,1112.05231295454,1112.05096015259,1112.04575629522,1112.03737759743,1112.03253272964,1112.03578970076,1112.0696311412,1111.94304856456,1112.0648726348,1111.98290343293,1112.00129519026
"9",1111.97569557877,1111.96061048335,1112.00054567348,1112.08882072002,1112.0291137061,1111.91302799156,1111.97967057232,1111.98428989203,1115.07804138044,1114.38254895677,1115.66461885843,1115.06195491711,1114.94136568076,1114.30858995284,1115.34700756214,1111.9444323111,1112.04312175721,1112.08082086252,1112.09556248376,1111.98908853612,1112.05826075365,1111.99845626936,1111.99890438053,1111.93883048721,1112.08165572038,1111.93371904748,1112.06766190786,1111.97582825133,1112.03506345211,1112.1977223018,1111.96607406674,1111.9562552051,1112.03167260556,1112.09424343233,1112.01400146377,1112.01620515831,1112.08345638088,1112.01642101872,1112.01805737912,1111.96450036059,1112.0211309515,1112.10560020675,1112.07199120137,1112.01945771413,1112.05220077755,1111.9989079847,1112.07352534728,1111.99594967,1112.07706206303,1112.08004647337
"10",1112.00322026445,1111.98664900417,1112.01576087851,1111.90313436516,1112.06442536207,1112.0642155429,1111.9981595964,1111.94563674941,1115.5076703895,1114.9377619087,1114.35838734768,1115.77354697658,1114.58432468898,1115.75966709604,1115.44510270206,1112.00743646632,1112.05039290412,1112.09061041779,1112.02260405075,1112.08794827474,1112.05694590722,1111.96919145963,1111.93971278126,1112.03243626918,1112.05485708302,1112.09687470219,1112.17216962782,1112.09645662565,1111.97326855167,1112.1160547776,1111.93749552351,1112.02594913702,1112.002740368,1111.98790056314,1112.04066529504,1112.02662137965,1112.08374347541,1112.01984693032,1112.02396260807,1112.04329130394,1111.98768269748,1112.01828781872,1111.98617942031,1112.05837285117,1112.08304118385,1111.99781094827,1111.93073051424,1112.0440946467,1112.06792279766,1112.08794407775
