"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1102.74003234921,1102.82021752107,1102.71099526847,1102.7804063513,1102.74820887791,1102.82369877917,1102.75815152397,1102.7438890552,1102.66985422379,1102.67413380007,1102.73875047799,1102.72811909642,1102.71824308916,1102.72445529065,1102.73999088981,1102.83381041664,1102.74028079626,1102.71641234384,1102.71568382201,1102.68758504012,1102.68994943115,1102.70818800337,1102.7511207713,1102.72523179378,1102.73239907912,1102.73449609423,1102.7184852128,1102.74552676063,1102.67584353957,1102.66265825177,1102.71659633206,1102.71290394047,1102.71280975913,1102.73583849049,1102.73174437468,1102.73752435692,1102.70197916511,1102.71359827709,1102.7301011578,1102.69589766791,1102.67830894132,1102.71938011869,1102.81599748433,1102.69370689313,1102.84570615312,1102.70047994471,1102.69585791475,1102.66752312845,1102.68288237167,1102.68846845399
"2",1102.73141017378,1102.69191853787,1102.66645728377,1102.63350957144,1102.71494602429,1102.80837094632,1102.7836629,1102.69228591276,1102.7300782855,1102.75485885158,1102.82877568959,1102.73633307372,1102.83052070591,1102.71663679825,1102.66841417816,1102.69786837617,1102.84178382233,1102.84109463214,1102.74402643226,1102.73535382751,1102.68867909855,1102.68864475759,1102.72261977022,1102.71182120738,1102.68601729818,1102.68483955883,1102.7401785443,1102.65146827381,1102.72515499212,1102.70855240812,1102.72165189212,1102.72333125757,1102.701770747,1102.74602400939,1102.61829870726,1102.66984416335,1102.67678777575,1102.72547372842,1102.77572203241,1102.68095250542,1102.75349659333,1102.73937107123,1102.72101751104,1102.79177439808,1102.70621858753,1102.84813046489,1102.69873259792,1102.67592173974,1102.61633638626,1102.7262897759
"3",1102.64836062451,1102.683747612,1102.83308455688,1102.81774158474,1102.76175051729,1102.77331087911,1102.7016137322,1102.82150873453,1102.71446188646,1102.71006455117,1102.69127283123,1102.67540009091,1102.66905110431,1102.71016273351,1102.71972373337,1102.70224646132,1102.80878613336,1102.76330934798,1102.83036808459,1102.83061193738,1102.717618763,1102.73067637586,1102.73991439128,1102.70723018359,1102.7329390207,1102.75534574563,1102.75453787774,1102.7669537423,1102.68893738628,1102.70384874893,1102.69031625015,1102.67975175103,1102.71786019296,1102.67544202539,1102.66307737708,1102.71735176686,1102.70094745748,1102.6917550659,1102.72393303954,1102.73981773732,1102.74819498384,1102.7243480602,1102.70548534212,1102.71552488794,1102.84558928002,1102.64869594914,1102.72802185065,1102.71481246182,1102.82017564595,1102.78641494895
"4",1102.71152654696,1102.73381429216,1102.73577598302,1102.76498629889,1102.70775927784,1102.72597025475,1102.66304784888,1102.68692262666,1102.72903702666,1102.68940152711,1102.75205467695,1102.6896727292,1102.66128661421,1102.77318747696,1102.6576641625,1102.70385332696,1102.72572264021,1102.68944372287,1102.77987715938,1102.72177809398,1102.81414511347,1102.69834388985,1102.70226599024,1102.71067781584,1102.73138139657,1102.70968916765,1102.7270751216,1102.70346052367,1102.68876758166,1102.82026885537,1102.75667077751,1102.74321806477,1102.68700056247,1102.81684418061,1102.7457510921,1102.7099473846,1102.71817531539,1102.68224353289,1102.81891107797,1102.69563316876,1102.71148580602,1102.68508990815,1102.65989875306,1102.719782137,1102.64147209656,1102.83850080417,1102.73065069946,1102.729206534,1102.68298633037,1102.71706939727
"5",1102.67112807218,1102.72265693581,1102.81444940487,1102.70086971879,1102.72383226305,1102.71883565677,1102.72701423932,1102.66031541796,1102.66332824674,1102.77515698816,1102.72526110446,1102.75440580865,1102.69407935028,1102.76293857265,1102.66293828516,1102.71750502142,1102.69695302251,1102.73981084185,1102.67921987173,1102.73062792273,1102.67714214828,1102.72083769803,1102.71716165381,1102.71475671416,1102.70885841969,1102.72392321018,1102.75681706887,1102.71060418533,1102.76138316636,1102.69386101998,1102.74456288249,1102.74369780099,1102.82483932025,1102.73221202556,1102.72395710283,1102.71093975895,1102.70321688916,1102.70253266794,1102.70198847926,1102.72470883124,1102.68584136748,1102.73294240348,1102.71760475638,1102.75217805282,1102.82905006478,1102.69242280268,1102.73853603706,1102.68968709677,1102.7252090333,1102.70118000044
"6",1102.82242423962,1102.73217194789,1102.71448587039,1102.70676226216,1102.77414871809,1102.72159440849,1102.71746162161,1102.67337701229,1102.81681205535,1102.78038787988,1102.69253999143,1102.70314608674,1102.72815877865,1102.71705617336,1102.68563297755,1102.71989565142,1102.70261061715,1102.72804048617,1102.73024289409,1102.7434074899,1102.73577387551,1102.81771152721,1102.70297098094,1102.71724584694,1102.70754875649,1102.70559864352,1102.70861425571,1102.69238236687,1102.69081284829,1102.70864187859,1102.74328655091,1102.72226981057,1102.74504409623,1102.79162265848,1102.83021135427,1102.72095837156,1102.82756221659,1102.69477246002,1102.69508634578,1102.72316489939,1102.73545322981,1102.70746365918,1102.71405848671,1102.69442155249,1102.90985004573,1102.73793378273,1102.80454103886,1102.75522581821,1102.69398750473,1102.70936992173
"7",1102.7241593761,1102.70064250222,1102.73398104956,1102.71366538405,1102.70352546855,1102.80782045148,1102.71158701264,1102.72971161252,1102.72741825102,1102.70504132904,1102.69635343106,1102.82528920036,1102.74662995458,1102.67012360204,1102.73130093282,1102.75081762425,1102.70219719838,1102.72106182967,1102.75740214282,1102.69248013368,1102.66490770852,1102.72229778313,1102.8175975407,1102.72921168443,1102.71475925152,1102.67669898955,1102.72404719828,1102.74443754602,1102.68361664679,1102.7378439259,1102.73006792285,1102.69052232553,1102.71852594281,1102.67222249865,1102.70729219868,1102.67901261613,1102.74572530077,1102.74506090058,1102.833037495,1102.74729332483,1102.807284939,1102.66827471862,1102.77170459785,1102.7179768525,1102.84464344326,1102.71683411751,1102.67459227051,1102.73842949266,1102.69915496591,1102.67998845617
"8",1102.72993862619,1102.73433307226,1102.75253985673,1102.69748569864,1102.71853038914,1102.73182383464,1102.75749129994,1102.71804322287,1102.74135728738,1102.70461219155,1102.69843873963,1102.68182686066,1102.63152523328,1102.69194278775,1102.72569406948,1102.6923767178,1102.68225295903,1102.70249531535,1102.72514150646,1102.68495878536,1102.71808636704,1102.75529564439,1102.69331998871,1102.74995892584,1102.70886249123,1102.6867037015,1102.68430824514,1102.73106639879,1102.68260288464,1102.69398191845,1102.71494448109,1102.71228683441,1102.71479623003,1102.70799699278,1102.70273014393,1102.68078721901,1102.73498264416,1102.76279989959,1102.75353298538,1102.83532232194,1102.7501739284,1102.71817854701,1102.75032907323,1102.77585247896,1102.84222125454,1102.72973475134,1102.72542921741,1102.73505087648,1102.67205613207,1102.76668246633
"9",1102.74361435256,1102.75750367584,1102.7101370875,1102.74174411188,1102.72078902129,1102.71072647439,1102.8228781036,1102.70416349515,1102.61240727039,1102.72213488717,1102.71596634115,1102.80851761452,1102.69719264303,1102.69782295674,1102.75661785632,1102.701321893,1102.68949833462,1102.69754852282,1102.6594052216,1102.70839233562,1102.82112551655,1102.68719709334,1102.78752859408,1102.70024270335,1102.70917584443,1102.77949147048,1102.76526042448,1102.65683140398,1102.756201531,1102.73025550997,1102.76806232825,1102.70936704493,1102.71223464198,1102.74742768032,1102.69948391254,1102.71977581387,1102.73977480766,1102.73242741586,1102.72764418994,1102.83743065893,1102.83620493959,1102.70101259983,1102.77137699398,1102.83605214094,1102.7312683704,1102.67341157048,1102.74016754504,1102.71249252219,1102.70859379605,1102.68418742734
"10",1102.74041375057,1102.70953984932,1102.75727719079,1102.69798627204,1102.7334117339,1102.70150136363,1102.7035928521,1102.71768282321,1102.71616734668,1102.75722950206,1102.706687079,1102.69090354214,1102.72730042664,1102.79952746116,1102.73989062058,1102.82263424651,1102.71859245325,1102.72823005039,1102.8256082056,1102.72762128671,1102.68885562351,1102.70572550644,1102.82274641751,1102.75043541388,1102.70450566707,1102.72499378712,1102.70706044965,1102.70108285107,1102.70204697068,1102.76860549326,1102.69343322965,1102.69228935548,1102.81492402148,1102.83537488493,1102.82797501677,1102.83599061337,1102.74024028612,1102.83141350345,1102.82950692024,1102.70141818691,1102.67847199376,1102.85866870174,1102.91775523656,1102.74682791172,1102.71049776285,1102.71076153521,1102.71300416406,1102.70965949636,1102.69611090451,1102.73376596086
"11",1102.75431655105,1102.71146859624,1102.79242374344,1102.82099081027,1102.71208496466,1102.81196702046,1102.71186585141,1102.71715148048,1102.70422839329,1102.71495590893,1102.71666953191,1102.67166361876,1102.7047276187,1102.72467181704,1102.72622904626,1102.71850623372,1102.67087870908,1102.72284801352,1102.74382610718,1102.71366896384,1102.70509406047,1102.72229032486,1102.77837258758,1102.71022670553,1102.75010950049,1102.69058151681,1102.71965193132,1102.6900935951,1102.68839924096,1102.80651052464,1102.74228083797,1102.82881560383,1102.71863982255,1102.75405388994,1102.71458364153,1102.65613186755,1102.77116920519,1102.70498671729,1102.71205550707,1102.69513708525,1102.73238269461,1102.82371778405,1102.70172157396,1102.6729535735,1102.71573537455,1102.71700598159,1102.76653863501,1102.70713674712,1102.71824567258,1102.73237255155
"12",1102.70746309574,1102.70774298717,1102.74219088859,1102.78921260957,1102.70098037101,1102.67180917156,1102.66500471741,1102.64560923919,1102.73013590037,1102.74159650753,1102.70584652372,1102.66184177842,1102.7024292747,1102.72490018687,1102.68521665918,1102.62380153021,1102.70517246572,1102.74068527505,1102.70483121123,1102.71157144447,1102.75965438815,1102.75018727961,1102.71170246567,1102.73736570576,1102.69111784675,1102.70642941043,1102.70574276353,1102.6811074734,1102.70962155342,1102.69425757861,1102.71021171728,1102.7050686202,1102.6873345845,1102.7164933597,1102.72820054509,1102.71250474565,1102.70310183504,1102.71626598545,1102.77066315386,1102.83415445023,1102.74529498686,1102.81575253,1102.70657313372,1102.7597655565,1102.81683078771,1102.72735510321,1102.72582185476,1102.74083617817,1102.74060286583,1102.70330147276
